Zone Identifier;GL Account Code;Cost Center Code;Cognos Account
"MEX";"60000226";"210C4300C0";"405301"
"MEX";"60000237";"210C720030";"402102"
"MEX";"60000305";"210C520430";"402102"
"MEX";"60000307";"210CP301C0";"405301"
"MEX";"60000504";"190N3439C0";"405301"
"MEX";"60000515";"210CO20730";"402102"
"MEX";"60000807";"210C522350";"405102"
"MEX";"60000908";"270C3500F0";"405300"
"MEX";"60001004";"210C120050";"405102"
"MEX";"60001006";"210CH21030";"402102"
"MEX";"60001008";"580R14C2C0";"405301"
"MEX";"60001011";"210C8A1690";"404001"
"MEX";"60001013";"210C6312C0";"405301"
"MEX";"60001015";"660K4K15A0";"405000"
"MEX";"60001018";"690K2E33A0";"405000"
"MEX";"60001032";"210C3400C0";"405301"
"MEX";"60001044";"210CKA0090";"404001"
"MEX";"60001200";"FG03218E55";"404000"
"MEX";"60001422";"210C620230";"402102"
"MEX";"60003013";"210C221030";"402102"
"MEX";"60003013";"210CO20950";"405102"
"MEX";"60003048";"210CJ20050";"405102"
"MEX";"60003122";"190N9D11A0";"405000"
"MEX";"60003159";"210CD300C0";"405301"
"MEX";"60004300";"570CMAJ7C0";"405301"
"MEX";"60004407";"190N3I50A0";"405000"
"MEX";"60005010";"210CLA0080";"404000"
"MEX";"60000001";"190N9D1320";"402101"
"MEX";"60000001";"210C921330";"402102"
"MEX";"60000001";"210CK70070";"403001"
"MEX";"60000001";"570X15L9F0";"405300"
"MEX";"60000002";"210CAA2390";"404001"
"MEX";"60000003";"210C621230";"402102"
"MEX";"60000004";"210C5J09C0";"405301"
"MEX";"60000007";"190N7C04A0";"405000"
"MEX";"60000007";"210C8A1690";"404001"
"MEX";"60000007";"210CK20050";"405102"
"MEX";"60000007";"570X1322C0";"405301"
"MEX";"60000009";"190N7H49A0";"405000"
"MEX";"60000009";"210C920530";"402102"
"MEX";"60000009";"210CK20750";"405102"
"MEX";"60000009";"570X16A7C0";"405301"
"MEX";"60000010";"210C3A0890";"404001"
"MEX";"60000010";"210CCA0790";"404001"
"MEX";"60000010";"210CP20550";"405102"
"MEX";"60000010";"750T9500A0";"405000"
"MEX";"60000011";"210C720650";"405102"
"MEX";"60000011";"210CHA0390";"404001"
"MEX";"60000011";"210CSA1890";"404001"
"MEX";"60000012";"210C721130";"402102"
"MEX";"60000013";"210C420350";"405102"
"MEX";"60000013";"210CE20150";"405102"
"MEX";"60000013";"210CP600C0";"405301"
"MEX";"60000020";"190N3D12A0";"405000"
"MEX";"60000021";"190N7439C0";"405301"
"MEX";"60000021";"210CF305C0";"405301"
"MEX";"60000021";"660K4K1940";"405101"
"MEX";"60000022";"210C821150";"405102"
"MEX";"60000022";"210CK305C0";"405301"
"MEX";"60000023";"210C320830";"402102"
"MEX";"60000023";"210CH22050";"405102"
"MEX";"60000025";"210C3303C0";"405301"
"MEX";"60000025";"210CC20850";"405102"
"MEX";"60000025";"210COJ0570";"403001"
"MEX";"60000025";"750T3M00A0";"405000"
"MEX";"60000033";"210C3100C0";"405301"
"MEX";"60000033";"210CC20530";"402102"
"MEX";"60000033";"210CP20730";"402102"
"MEX";"60000034";"110L5L8720";"402101"
"MEX";"60000034";"210CA307C0";"405301"
"MEX";"60000034";"210CRA1F90";"404001"
"MEX";"60000035";"210C522330";"402102"
"MEX";"60000035";"210CJ21050";"405102"
"MEX";"60000036";"210C2310C0";"405301"
"MEX";"60000036";"210CH70070";"403001"
"MEX";"60000038";"210C620030";"402102"
"MEX";"60000039";"210CC20730";"402102"
"MEX";"60000039";"580I19E5C0";"405301"
"MEX";"60000040";"210CAA0090";"404001"
"MEX";"60000040";"570X16A7C0";"405301"
"MEX";"60000041";"210C7A0090";"404001"
"MEX";"60000041";"210CK20350";"405102"
"MEX";"60000042";"210C1A0390";"404001"
"MEX";"60000042";"210CC20230";"402102"
"MEX";"60000042";"210CQ300C0";"405301"
"MEX";"60000043";"580M1YB4C0";"405301"
"MEX";"60000045";"210C3306C0";"405301"
"MEX";"60000045";"750T1N51A0";"405000"
"MEX";"60000046";"570X1321C0";"405301"
"MEX";"60000047";"570X14Y6C0";"405301"
"MEX";"60000048";"570X1253C0";"405301"
"MEX";"60000049";"750T9E00A0";"405000"
"MEX";"60000062";"660K4K1720";"402101"
"MEX";"60000075";"750T5C00A0";"405000"
"MEX";"60000089";"110LEL8820";"402101"
"MEX";"60000109";"190N3D2520";"402101"
"MEX";"60000202";"210CBA0080";
"MEX";"60000213";"210CA20050";"405102"
"MEX";"60000215";"210C3300C0";"405301"
"MEX";"60000217";"190N3D2640";"405101"
"MEX";"60000049";"2105531GC0";"405301"
"MEX";"60000022";"210CR301C0";"405301"
"MEX";"60001010";"210C5J0050";"405102"
"MEX";"60000010";"210C820530";"402102"
"MEX";"60000036";"210CP20030";"402102"
"MEX";"60000306";"190N1D23A0";"405000"
"MEX";"60001700";"220CH21550";"405102"
"MEX";"60000007";"210C520630";"402102"
"MEX";"60000013";"210C821430";"402102"
"MEX";"60000033";"210CIA0290";"404001"
"MEX";"60000042";"210C720550";"405102"
"MEX";"60000216";"210C220050";"405102"
"MEX";"60000815";"A80NE300C0";"405301"
"MEX";"60001021";"210C9A0090";"404001"
"MEX";"60003148";"190N7439C0";"405301"
"MEX";"60000002";"210C220630";"402102"
"MEX";"60000009";"210C521550";"405102"
"MEX";"60000011";"210CAA2790";"404001"
"MEX";"60000021";"210C6A0090";"404001"
"MEX";"60000025";"210CIA0190";"404001"
"MEX";"60000034";"750T1C51A0";"405000"
"MEX";"60000040";"210CKA0290";"404001"
"MEX";"60000045";"210CM20730";"402102"
"MEX";"60000092";"190NED1320";"402101"
"MEX";"60000233";"210C620250";"405102"
"MEX";"60000511";"210C120430";"402102"
"MEX";"60001004";"570IMDJ7C0";"405301"
"MEX";"60001014";"210CIA0290";"404001"
"MEX";"60001103";"210C3300C0";"405301"
"MEX";"60003013";"750KFL0040";"405101"
"MEX";"60004311";"210CS305C0";"405301"
"MEX";"60000001";"210CF308C0";"405301"
"MEX";"60000003";"210CP20630";"402102"
"MEX";"60000007";"210CQ20830";"402102"
"MEX";"60000009";"210CQ22030";"402102"
"MEX";"60000010";"570I19V6C0";"405301"
"MEX";"60000011";"690K2E06A0";"405000"
"MEX";"60000013";"570X1349C0";"405301"
"MEX";"60000022";"210C3304C0";"405301"
"MEX";"60000025";"110L1L9420";"402101"
"MEX";"60000031";"210C6A1590";"404001"
"MEX";"60000034";"210C520350";"405102"
"MEX";"60000035";"210CQA1390";"404001"
"MEX";"60000039";"210CM307C0";"405301"
"MEX";"60000041";"210CE20030";"402102"
"MEX";"60000043";"210C620530";"402102"
"MEX";"60000047";"190N5D49C0";"405301"
"MEX";"60000069";"880OBD2820";"402101"
"MEX";"60000209";"210CCA0080";"404000"
"MEX";"60000221";"210C5A0290";"404001"
"MEX";"60000300";"210CJ20350";"405102"
"MEX";"60000309";"210C920630";"402102"
"MEX";"60000639";"210CR300C0";"405301"
"MEX";"60001003";"210C5301C0";"405301"
"MEX";"60001007";"210C6300C0";"405301"
"MEX";"60001012";"190N1D12A0";"405000"
"MEX";"60001017";"210CK300C0";"405301"
"MEX";"60001035";"570I1986C0";"405301"
"MEX";"60001300";"FG05200E62";"405102"
"MEX";"60003013";"210CAA1190";"404001"
"MEX";"60003112";"690K2E06A0";"405000"
"MEX";"60003175";"210CG21050";"405102"
"MEX";"60004518";"210C6307C0";"405301"
"MEX";"60000001";"210C522350";"405102"
"MEX";"60000001";"210CQ316C0";"405301"
"MEX";"60000002";"210COA1890";"404001"
"MEX";"60000006";"190N5439C0";"405301"
"MEX";"60000007";"210CF20530";"402102"
"MEX";"60000008";"";"402102"
"MEX";"60000009";"210CF21230";"402102"
"MEX";"60000010";"190N1FA2A0";"405000"
"MEX";"60000010";"210CJ20350";"405102"
"MEX";"60000011";"210C2A0190";"404001"
"MEX";"60000011";"210CO21550";"405102"
"MEX";"60000013";"190N3C03A0";"405000"
"MEX";"60000013";"210CJ21150";"405102"
"MEX";"60000020";"210CH20050";"405102"
"MEX";"60000021";"210CO20730";"402102"
"MEX";"60000022";"210CF20230";"402102"
"MEX";"60000023";"210C8314C0";"405301"
"MEX";"60000025";"210C7A0890";"404001"
"MEX";"60000025";"570I1990C0";"405301"
"MEX";"60000033";"210C7313C0";"405301"
"MEX";"60000033";"570X1253C0";"405301"
"MEX";"60000034";"210CJ21050";"405102"
"MEX";"60000035";"210CAA0090";"404001"
"MEX";"60000036";"210C8A0390";"404001"
"MEX";"60000039";"210C521630";"402102"
"MEX";"60000040";"210C420030";"402102"
"MEX";"60000041";"210C2306C0";"405301"
"MEX";"60000041";"210CR20050";"405102"
"MEX";"60000042";"210CJ301C0";"405301"
"MEX";"60000044";"210CJ20830";"402102"
"MEX";"60000046";"210C6300C0";"405301"
"MEX";"60000048";"190N3D1320";"402101"
"MEX";"60000059";"190N7D06A0";"405000"
"MEX";"60000081";"210CG300C0";"405301"
"MEX";"60000201";"190N9D31A0";"405300"
"MEX";"60000214";"210CC20030";"402102"
"MEX";"60000217";"210CR20050";"405102"
"MEX";"60000219";"190N7D12A0";"405000"
"MEX";"60000225";"210C820150";"405102"
"MEX";"60000226";"210COA1890";"404001"
"MEX";"60000236";"210C521030";"402102"
"MEX";"60000300";"210C3300C0";"405301"
"MEX";"60000302";"190NDD33A0";
"MEX";"60000305";"210CGÑ113";
"MEX";"60000307";"210CA21050";"405102"
"MEX";"60000308";"210CJA0490";"404001"
"MEX";"60000311";"210C420150";
"MEX";"60000504";"570X1IX8C0";"405301"
"MEX";"60000513";"210CCA0090";"404001"
"MEX";"60000609";"210CR300C0";"405301"
"MEX";"60000801";"210C3307C0";"405301"
"MEX";"60000809";"210C5300C0";"405301"
"MEX";"60000820";"210C721130";"402102"
"MEX";"60000919";"210C1500F0";"405300"
"MEX";"60001003";"570I19V7C0";"405301"
"MEX";"60001004";"210CEJ0050";"405102"
"MEX";"60001006";"190N9H49A0";"405000"
"MEX";"60001006";"570X1IX7C0";"405301"
"MEX";"60001007";"570MM379C0";"405301"
