Zone Identifier;GL Account Code;Cost Center Code;GCOA Account Code;Sub Package Code
"MEX";"60000208";"210C6A0290";"6104553";"186"
"MEX";"60001011";"190N9337C0";"6103003";"349"
"MEX";"60000086";"690K1E33A0";"6300000";"261"
"MEX";"60005007";"210C5A2180";"6104627";"191"
"MEX";"60001300";"210CM20730";"6200559";"210"
"MEX";"60000013";"57041593F0";"6302000";"269"
"MEX";"60000021";"210CA304C0";"6300000";"261"
"MEX";"60000216";"210C5300C0";"6101023";"305"
"MEX";"60004105";"110CDA6080";"6450000";"188"
"MEX";"60004404";"580I1026C0";"6103015";"352"
"MEX";"60000049";"210CN306C0";"6300000";"261"
"MEX";"60000042";"210CO80090";"6300500";"262"
"MEX";"60000043";"210CFA0490";"6300000";"261"
"MEX";"60000509";"210CSA2490";"6201004";"123"
"MEX";"60001105";"210CJ300C0";"6005502";"244"
"MEX";"60000049";"210CGA0790";"6300000";"261"
"MEX";"60003045";"210CH20850";"6201026";"103"
"MEX";"60003000";"210CPA0090";"6202000";"103"
"MEX";"60000020";"210CP80090";"6300000";"261"
"MEX";"60003013";"210CM20330";"6302001";"330"
"MEX";"60001006";"580C1AF4C0";"6103006";"447"
"MEX";"60000813";"210CM20750";"6200525";"106"
"MEX";"60000039";"1909GD2740";"6300000";"261"
"MEX";"60000026";"190N3G46A0";"6304006";"322"
"MEX";"60000020";"210CAA2690";"6300000";"261"
"MEX";"60000023";"210CG20530";"6900118";"391"
"MEX";"60001600";"210CK20130";"6200559";"210"
"MEX";"60000051";"210C520230";"6309607";"335"
"MEX";"60000513";"390L3439C0";"6201020";"124"
"MEX";"60001004";"210C621350";"6103002";"241"
"MEX";"60000214";"210CB20530";"6102561";"137"
"MEX";"60000025";"57041593F0";"6300000";"261"
"MEX";"60001003";"5705MFL1C0";"6103002";"241"
"MEX";"60000011";"210C3400C0";"6300005";"273"
"MEX";"60000237";"210CH20330";;"435"
"MEX";"60000021";"580I19E8C0";"6300000";"261"
"MEX";"60000221";"210CAA2890";"6025008";"145"
"MEX";"60003013";"660K5K2040";"6302001";"330"
"MEX";"60001007";"5705MZJ4C0";"6103006";"447"
"MEX";"60000008";"570I1987C0";"6300005";"273"
"MEX";"60000226";"210CM400C0";"6025017";"145"
"MEX";"60000202";"210CA21630";"6101029";"147"
"MEX";"60000025";"210CNA0790";"6300000";"261"
"MEX";"60003013";"210CQ20830";"6302001";"330"
"MEX";"60001011";"590IMDV3C0";"6103003";"447"
"MEX";"60000049";"570IM985C0";"6300000";"261"
"MEX";"60000023";"210CA22150";"6900118";"335"
"MEX";"60000025";"210C6A0890";"6300000";"261"
"MEX";"60001103";"210C7400C0";"6106501";"244"
"MEX";"60000030";"210CCA0590";;"333"
"MEX";"60000026";"660K5I52A0";"6304006";"332"
"MEX";"60004518";"190N3101C0";"6104028";"116"
"MEX";"60001600";"220C720050";"6200559";"210"
"MEX";"60001016";"190N9D11A0";"6104036";"116"
"MEX";"60000039";"190N5D1320";"6300000";"261"
"MEX";"60000025";"210C9307C0";"6300000";"261"
"MEX";"60000042";"210CJ309C0";"6300500";"262"
"MEX";"60000023";"570P16I1C0";"6900118";"391"
