Zone Identifier;Source Identifier;Company Code;Posting Date;Financial Period;GCOA Account;Local Account;Cost Center;Cognos Account;Cognos Dimension;Measure Code;Currency;Amount
"MEX";"Budget";"3023";"";"2016M06";"6105016";"60000918";"270CM500F0";"405300";"ZM02";"BUDGET";"MXN";25504.83000
"MEX";"Budget";"3006";"";"2016M08";"6300000";"60000001";"210C620050";"405102";"SM00";"BUDGET";"MXN";870867.36000
"MEX";"LE BBP 2016-01";"1001";"";"2016M12";;"";"";;"";"LE";"MXN";275054.62660
"MEX";"Budget";"2009";"";"2016M11";"6101023";"60000216";"190N9D07A0";"405000";"ZM04";"BUDGET";"MXN";3917.70000
"MEX";"Budget";"3015";"";"2016M03";"6300000";"60000049";"210CE300C0";"405301";"SM00";"BUDGET";"MXN";2487.69000
"MEX";"Budget";"6001";"";"2016M12";"6025000";"60000217";"880OBW09A0";"405000";"ZM03";"BUDGET";"MXN";20198.89000
"MEX";"SAP";"3015";"";"2016M02";"6103006";"60001007";"210CE70070";"403001";"SM00";"ACTUAL";"MXN";470.00000
"MEX";"Budget";"2003";"";"2016M08";"6105524";"60000633";"190N3101C0";"405301";"ZM04";"BUDGET";"MXN";8000.00000
"MEX";"Budget";"3003";"";"2016M04";"6308512";"60001037";"210C320050";"405102";"SM00";"BUDGET";"MXN";604.32000
"MEX";"Budget";"3011";"";"2016M06";"6103006";"60001007";"210CA300C0";"405301";"SM00";"BUDGET";"MXN";4922.22000
"MEX";"Budget";"3018";"";"2016M09";"6304501";"60003046";"210CHA0090";"404001";"SM00";"BUDGET";"MXN";128.23000
"MEX";"Budget";"3028";"";"2016M06";"6103002";"60001003";"210CR20050";"405102";"SM00";"BUDGET";"MXN";716.40000
"MEX";"Budget";"6504";"";"2016M03";"6103006";"60001006";"570IM989C0";"405301";"ZM02";"BUDGET";"MXN";739.14000
"MEX";"SAP";"3004";"";"2016M02";"6300005";"60000007";"210C4A0390";"404001";"SM00";"ACTUAL";"MXN";11452.52000
"MEX";"SAP";"3026";"";"2016M02";"6104553";"60005083";"210CPA1D80";"404000";"SM00";"ACTUAL";"MXN";346399.09000
"MEX";"Budget";"1531";"";"2016M06";"6105521";"60000639";"750K9600C0";"405301";"ZM00";"BUDGET";"MXN";20000.00000
"MEX";"Budget";"2007";"";"2016M02";"6200555";"60000800";"190N7101C0";"405301";"ZM04";"BUDGET";"MXN";130000.00000
